ugU_mgAFDM_h_N,ugU_mgAFDM_h_P,R_mgDOmgAFDMh_mean,ugU_micN_h_N,ugU_micN_h_P,R_micN_h,RDA1,PC1,RDA1,RDA2
1,0.8388278388278388,0.5311355311355311,0.7435897435897436,0.5341880341880342,0.27045177045177043,-0.8021978021978022,0.36324786324786323,0.8833943833943834,0.25824175824175827
0.8388278388278388,1,0.5415140415140415,0.645909645909646,0.6514041514041514,0.2313797313797314,-0.6953601953601953,0.304029304029304,0.8833943833943834,0.1746031746031746
0.5311355311355311,0.5415140415140415,1,0.2686202686202686,0.2509157509157509,0.46642246642246643,-0.7411477411477412,0.3253968253968254,0.6275946275946276,0.28815628815628813
0.7435897435897436,0.645909645909646,0.2686202686202686,1,0.8205128205128205,0.5122100122100122,-0.4804639804639805,0.572039072039072,0.8266178266178266,-0.18925518925518925
0.5341880341880342,0.6514041514041514,0.2509157509157509,0.8205128205128205,1,0.6971916971916972,-0.21245421245421245,0.6416361416361417,0.7753357753357754,-0.518925518925519
0.27045177045177043,0.2313797313797314,0.46642246642246643,0.5122100122100122,0.6971916971916972,1,-0.10622710622710622,0.6727716727716728,0.5622710622710623,-0.6105006105006106
-0.8021978021978022,-0.6953601953601953,-0.7411477411477412,-0.4804639804639805,-0.21245421245421245,-0.10622710622710622,1,-0.28327228327228327,-0.706959706959707,-0.5763125763125763
0.36324786324786323,0.304029304029304,0.3253968253968254,0.572039072039072,0.6416361416361417,0.6727716727716728,-0.28327228327228327,1,0.5177045177045178,-0.322954822954823
0.8833943833943834,0.8833943833943834,0.6275946275946276,0.8266178266178266,0.7753357753357754,0.5622710622710623,-0.706959706959707,0.5177045177045178,1,-0.013431013431013432
0.25824175824175827,0.1746031746031746,0.28815628815628813,-0.18925518925518925,-0.518925518925519,-0.6105006105006106,-0.5763125763125763,-0.322954822954823,-0.013431013431013432,1
